Range DKF,Range RKF,Absolute Value Error,Comments,RMSE Error,0.493572075
5.025128084,5.792218685,0.767090601,,,
5.029152215,5.82025528,0.791103064,,,
5.033176347,5.848291874,0.815115527,,,
5.037200478,5.876328468,0.83912799,,,
5.04122461,5.904365063,0.863140453,,,
5.045248741,5.932401657,0.887152916,,,
5.049272873,5.960438251,0.911165379,,,
5.053297004,5.988474846,0.935177842,,,
5.057321136,6.01651144,0.959190305,,,
5.061345267,6.044548035,0.983202768,,,
5.065369399,6.072584629,1.00721523,,,
5.06939353,6.100621223,1.031227693,,,
5.073417662,6.128657818,1.055240156,,,
5.077441793,6.156694412,1.079252619,,,
5.081465925,6.184731007,1.103265082,,,
5.085490056,6.212767601,1.127277545,,,
5.089514187,6.240804195,1.151290008,,,
5.093538319,6.26884079,1.175302471,,,
5.09756245,6.296877384,1.199314934,,,
5.101586582,6.324913979,1.223327397,,,
5.105610713,6.352950573,1.24733986,,,
5.109634845,6.380987167,1.271352322,,,
