Index,maxDistance,minClusterSize,Misclassifications,Accuracy %,Max Frames,1024
385,1.1,7,424,58.59375,,
386,1.1,8,453,55.76171875,,
387,1.1,9,478,53.3203125,,
388,1.1,10,501,51.07421875,,
389,1.1,11,526,48.6328125,,
390,1.1,12,544,46.875,,
391,1.1,13,560,45.3125,,
392,1.1,14,676,33.984375,,
393,1.1,15,639,37.59765625,,
394,1.1,16,592,42.1875,,
395,1.1,17,556,45.703125,,
396,1.1,18,556,45.703125,,
397,1.1,19,651,36.42578125,,
398,1.1,20,681,33.49609375,,
399,1.15,2,692,32.421875,,
400,1.15,3,713,30.37109375,,
401,1.15,4,741,27.63671875,,
402,1.15,5,824,19.53125,,
403,1.15,6,824,19.53125,,
404,1.15,7,824,19.53125,,
405,1.15,8,824,19.53125,,
406,1.15,9,824,19.53125,,
407,1.15,10,824,19.53125,,
408,1.15,11,824,19.53125,,
409,1.15,12,824,19.53125,,
410,1.15,13,824,19.53125,,
411,1.15,14,824,19.53125,,
412,1.15,15,824,19.53125,,
413,1.15,16,824,19.53125,,
414,1.15,17,824,19.53125,,
415,1.15,18,824,19.53125,,
416,1.15,19,824,19.53125,,
417,1.15,20,824,19.53125,,
418,1.2,2,824,19.53125,,
419,1.2,3,824,19.53125,,
420,1.2,4,503,50.87890625,,
421,1.2,5,459,55.17578125,,
422,1.2,6,396,61.328125,,
423,1.2,7,348,66.015625,,
424,1.2,8,361,64.74609375,,
425,1.2,9,414,59.5703125,,
426,1.2,10,436,57.421875,,
427,1.2,11,444,56.640625,,
428,1.2,12,459,55.17578125,,
429,1.2,13,470,54.1015625,,
430,1.2,14,491,52.05078125,,
431,1.2,15,532,48.046875,,
432,1.2,16,603,41.11328125,,
433,1.2,17,647,36.81640625,,
434,1.2,18,694,32.2265625,,
435,1.2,19,758,25.9765625,,
436,1.2,20,800,21.875,,
437,1.25,2,818,20.1171875,,
438,1.25,3,820,19.921875,,
439,1.25,4,822,19.7265625,,
440,1.25,5,823,19.62890625,,
441,1.25,6,824,19.53125,,
442,1.25,7,824,19.53125,,
443,1.25,8,824,19.53125,,
444,1.25,9,824,19.53125,,
445,1.25,10,824,19.53125,,
446,1.25,11,824,19.53125,,
447,1.25,12,824,19.53125,,
448,1.25,13,232,77.34375,,
449,1.25,14,208,79.6875,,
450,1.25,15,190,81.4453125,,
451,1.25,16,199,80.56640625,,
452,1.25,17,207,79.78515625,,
453,1.25,18,216,78.90625,,
454,1.25,19,234,77.1484375,,
455,1.25,20,255,75.09765625,,
456,1.3,2,284,72.265625,,
457,1.3,3,325,68.26171875,,
458,1.3,4,371,63.76953125,,
459,1.3,5,407,60.25390625,,
460,1.3,6,461,54.98046875,,
461,1.3,7,499,51.26953125,,
462,1.3,8,535,47.75390625,,
463,1.3,9,579,43.45703125,,
464,1.3,10,617,39.74609375,,
465,1.3,11,663,35.25390625,,
466,1.3,12,688,32.8125,,
467,1.3,13,723,29.39453125,,
468,1.3,14,753,26.46484375,,
469,1.3,15,783,23.53515625,,
470,1.3,16,792,22.65625,,
471,1.3,17,803,21.58203125,,
472,1.3,18,811,20.80078125,,
473,1.3,19,816,20.3125,,
474,1.3,20,821,19.82421875,,
475,1.35,2,197,80.76171875,,
476,1.35,3,184,82.03125,,
477,1.35,4,176,82.8125,,
478,1.35,5,179,82.51953125,,
479,1.35,6,185,81.93359375,,
480,1.35,7,193,81.15234375,,
481,1.35,8,204,80.078125,,
482,1.35,9,216,78.90625,,
483,1.35,10,239,76.66015625,,
484,1.35,11,256,75,,
485,1.35,12,283,72.36328125,,
486,1.35,13,325,68.26171875,,
487,1.35,14,362,64.6484375,,
488,1.35,15,392,61.71875,,
489,1.35,16,430,58.0078125,,
490,1.35,17,458,55.2734375,,
491,1.35,18,478,53.3203125,,
492,1.35,19,502,50.9765625,,
493,1.35,20,533,47.94921875,,
494,1.4,2,569,44.43359375,,
495,1.4,3,597,41.69921875,,
496,1.4,4,630,38.4765625,,
497,1.4,5,663,35.25390625,,
498,1.4,6,690,32.6171875,,
499,1.4,7,721,29.58984375,,
500,1.4,8,738,27.9296875,,
501,1.4,9,758,25.9765625,,
502,1.4,10,777,24.12109375,,
503,1.4,11,172,83.203125,,
504,1.4,12,163,84.08203125,,
505,1.4,13,159,84.47265625,,
506,1.4,14,168,83.59375,,
507,1.4,15,180,82.421875,,
508,1.4,16,188,81.640625,,
509,1.4,17,200,80.46875,,
510,1.4,18,216,78.90625,,
511,1.4,19,234,77.1484375,,
512,1.4,20,250,75.5859375,,
513,1.45,2,273,73.33984375,,
514,1.45,3,305,70.21484375,,
515,1.45,4,337,67.08984375,,
516,1.45,5,366,64.2578125,,
517,1.45,6,406,60.3515625,,
518,1.45,7,433,57.71484375,,
519,1.45,8,445,56.54296875,,
520,1.45,9,464,54.6875,,
521,1.45,10,483,52.83203125,,
522,1.45,11,510,50.1953125,,
523,1.45,12,549,46.38671875,,
524,1.45,13,572,44.140625,,
525,1.45,14,596,41.796875,,
526,1.45,15,623,39.16015625,,
527,1.45,16,651,36.42578125,,
528,1.45,17,675,34.08203125,,
529,1.45,18,704,31.25,,
530,1.45,19,726,29.1015625,,
531,1.45,20,158,84.5703125,,
